Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,15:46:59,271.4999998,0,14.2848912,0.273069123,286.3975116,2.226125785,0.851272005,30.46890259,6,1.420000017,1,2.840000033,29.4757576,30.46890259,29.35731506,399.8404236,381.7041931,32.95955658,35.53239822,79.10392761,85.27883148,500.6976318,1800.701416,143.758667,99.21316528,-0.395277232,-0.402793109,0.025503917,0.01489241,0.041982729,0.016679801,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834496053,0.002226126,303.6189026,302.6257576,288.1122201,2.008896066,4.376553703,44.11263052,8.580232295,29.97233009,4.253683171,0.249116316,3.525281698,0.728401473,0.157686011,28.41440366,0.750312721,81.51948168,374.91384,0.031060388
2,15:48:26,357.9999998,0,10.65622196,0.282630334,217.3200208,2.292845182,0.849355936,30.63982773,6,1.420000017,1,2.840000033,29.70695305,30.63982773,29.59925842,299.8900146,286.3337708,33.3355751,35.98426056,78.94972992,85.22270203,500.7024536,1800.523926,132.8493347,99.21561432,-0.382217228,-0.401050746,0.010908084,0.013790945,0.010273269,0.013822827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834504089,0.002292845,303.7898277,302.856953,288.0838217,1.982827807,4.419556453,44.54496889,8.560708332,30.17339039,4.303065898,0.257049367,3.570200517,0.73286538,0.16277368,21.56153937,0.758974466,81.78801435,281.2683132,0.030986471
3,15:49:54,445.9999998,0,6.452581441,0.290946029,150.6762272,2.361704015,0.851704355,30.82871628,6,1.420000017,1,2.840000033,29.92621803,30.82871628,29.82641792,199.9665985,191.691925,33.7169342,36.44384384,78.8522644,85.22956085,500.7062378,1800.139526,133.4256897,99.2157135,-0.464163035,-0.415032178,0.026867041,0.014844513,0.034257893,0.014347264,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834510396,0.002361704,303.9787163,303.076218,288.0223178,1.951251668,4.467506325,45.02821345,8.584369604,30.37746716,4.353699653,0.263909603,3.615801969,0.737897683,0.167176664,14.94944938,0.786033252,81.9727983,188.6246769,0.028041726
4,15:51:26,538.4999998,0,1.797156894,0.305716385,85.82529628,2.45945865,0.84770427,30.99093437,6,1.420000017,1,2.840000033,30.13005638,30.99093437,30.03936577,99.82630157,97.38566589,34.06413269,36.90264893,78.73756409,85.29865265,500.6907654,1800.558105,138.2297974,99.21625519,-0.758584797,-0.422119498,0.019282261,0.012382224,0.031844705,0.013117963,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834484609,0.002459459,304.1409344,303.2800564,288.0892904,1.908410504,4.509046903,45.44665483,8.544005905,30.56049538,4.399551809,0.276005345,3.661342633,0.738209176,0.174947416,8.515264497,0.881292904,82.29814059,96.53138358,0.015321719
5,15:52:54,626.4999998,0,-0.657597436,0.315000203,53.47985186,2.515991807,0.843808272,31.12332153,6,1.420000017,1,2.840000033,30.31106186,31.12332153,30.23087692,49.91476059,50.55031967,34.38321686,37.28555679,78.65560913,85.29505157,500.7369995,1800.489868,147.8493347,99.21775055,-1.022023201,-0.430198848,0.016406713,0.014549974,0.009217619,0.013157303,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834561666,0.002515992,304.2733215,303.4610619,288.0783725,1.886283673,4.543197345,45.79016678,8.504609985,30.7171917,4.439141018,0.283550085,3.699389073,0.739751945,0.179799324,5.306150601,1.057952792,82.55679985,50.86291,-0.010673621
6,15:54:50,742.4999998,0,15.42965719,0.325541486,292.5616118,2.579840532,0.839673341,31.26338387,6,1.420000017,1,2.840000033,30.51494408,31.26338387,30.4421196,400.1923828,380.5259094,34.71839142,37.69340134,78.50143433,85.22819519,500.6902771,1799.922607,161.303833,99.21894073,-0.53211385,-0.43459186,0.046304736,0.013042319,0.049471483,0.013113051,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834483795,0.002579841,304.4133839,303.6649441,287.9876108,1.861688363,4.579572695,46.15623449,8.462833157,30.88916397,4.482946549,0.292063088,3.739899353,0.743047195,0.185278424,29.02765322,0.768834932,82.83055929,373.1913894,0.034246426
7,15:56:24,836.4999998,0,15.71347909,0.336976177,292.96456,2.655036358,0.837473501,31.4186573,6,1.420000017,1,2.840000033,30.70563316,31.4186573,30.63943863,399.8639221,379.8255615,35.0646286,38.12493515,78.42460632,85.26920319,500.6975403,1799.975098,167.9778748,99.21908569,-0.45853138,-0.438634098,0.009998087,0.014630909,0.013144133,0.013501423,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8344959,0.002655036,304.5686573,303.8556332,287.9960092,1.828686888,4.620194709,46.5655844,8.44064925,31.06214523,4.527388481,0.301233718,3.782721208,0.744667274,0.191186147,29.06767579,0.771313439,83.07977182,372.3561261,0.035059777
8,15:58:10,942.4999998,0,22.26590151,0.345468726,450.6428501,2.699047287,0.832356879,31.54121971,6,1.420000017,1,2.840000033,30.8939743,31.54121971,30.83654785,600.0908203,571.5602417,35.39139938,38.50122833,78.31010437,85.19117737,500.6958313,1799.826294,167.6753693,99.22081757,-0.872242928,-0.448956102,0.030827848,0.008264646,0.031004051,0.006980672,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834493052,0.002699047,304.6912197,304.0439743,287.9722006,1.815101754,4.652480232,46.89016222,8.388933892,31.21759701,4.567653663,0.308002139,3.820123352,0.747530311,0.195549941,44.71315201,0.788443312,83.33827279,560.9760985,0.03307809
9,15:59:35,1027.5,0,26.51350399,0.349655719,622.0387263,2.736775264,0.834760426,31.63492584,6,1.420000017,1,2.840000033,31.01494217,31.63492584,30.96244812,800.0391846,765.758606,35.57540894,38.72771072,78.17480469,85.10179901,500.7362366,1799.577515,166.6553955,99.21929932,-1.575288534,-0.448557854,0.011256051,0.009865142,0.029266329,0.009754686,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834560394,0.002736775,304.7849258,304.1649422,287.9323959,1.799319556,4.677296748,47.14099757,8.413286848,31.32493401,4.595637829,0.311325839,3.842536322,0.753101507,0.197693936,61.71824657,0.812316991,83.39649674,753.155356,0.029358264
10,16:01:18,1130.5,0,30.38985852,0.351689306,992.0873727,2.768579677,0.83987963,31.7390995,6,1.420000017,1,2.840000033,31.14797592,31.7390995,31.10140228,1200.262085,1159.995483,35.76752853,38.95603943,78.00240326,84.95596313,500.6838989,1800.05481,165.8530579,99.21801758,-3.614619493,-0.454182625,0.033872914,0.00451032,0.036785427,0.004097656,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834473165,0.00276858,304.8890995,304.2979759,288.0087631,1.787985572,4.705020635,47.42103047,8.464991041,31.44353771,4.626732904,0.312936985,3.865141005,0.761591899,0.198733491,98.43294238,0.855251065,83.3992818,1145.5496,0.022124685
11,16:03:40,1272,0,33.62670564,0.346976113,1558.969679,2.768447795,0.849717192,31.86937714,6,1.420000017,1,2.840000033,31.31716347,31.86937714,31.27828407,1799.720093,1753.609009,36.02132034,39.20859146,77.80254364,84.68672943,500.723175,1800.021851,167.2732391,99.21743011,-8.014753342,-0.459582329,0.036546145,0.008072543,0.059448831,0.008045668,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834538625,0.002768448,305.0193771,304.4671635,288.0034897,1.792901383,4.739892876,47.77278418,8.564192718,31.5932703,4.666250775,0.309199732,3.890175683,0.776075091,0.196322379,154.6769652,0.889006427,83.29847189,1737.624483,0.016120015
12,16:05:09,1361.5,0,33.31527834,0.344012812,1756.163963,2.777965261,0.858979759,31.96653938,6,1.420000017,1,2.840000033,31.412714,31.96653938,31.37473297,2000.060669,1953.63562,36.18147278,39.37922287,77.72423553,84.59356689,500.709137,1799.585449,165.2786713,99.21646881,-9.95582962,-0.463027567,0.06425067,0.002685199,0.071836643,0.004182468,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834515228,0.002777965,305.1165394,304.562714,287.9336654,1.786858641,4.766047197,48.03685572,8.657632847,31.68962669,4.691836577,0.306844364,3.907067438,0.784769139,0.194803275,174.240387,0.898920937,83.18961651,1937.799132,0.014302232
