Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,11:20:18,373,1,14.3378876,0.043255886,1237.908809,0.428974077,1.008474927,21.72438588,6,1.420000017,1,2.840000033,20.46777725,19.9752636,20.55199051,1817.725342,1799.584961,15.14536095,15.65231133,64.12493134,66.27134705,499.7644653,1001.296204,4.535798073,102.2696304,-4.571697235,-0.241790146,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832940776,0.000428974,293.1252636,293.6177773,160.207389,1.749122282,2.609231021,25.51325364,9.860942319,19.9752636,2.343020931,0.042606942,1.600756095,0.742264836,0.026686892,126.6004764,0.687885727,61.12951225,1792.769416,0.004888906
2,11:22:31,505.5,1,14.52996123,0.044000354,944.7721712,0.439187628,1.015115525,21.76350781,6,1.420000017,1,2.840000033,20.44724655,20.03462791,20.53001213,1518.155518,1499.919556,15.13141346,15.6504612,64.13883972,66.33896637,499.7391663,999.0029907,4.43606329,102.2564468,-4.377483368,-0.242332786,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83289861,0.000439188,293.1846279,293.5972466,159.8404749,1.728879894,2.615476079,25.57761549,9.927154295,20.03462791,2.351649786,0.043329053,1.600360553,0.751289233,0.027140181,96.60904529,0.629881894,60.97581212,1493.012708,0.00593415
3,11:24:36,630.5,1,14.07410502,0.044756639,675.0182825,0.445607012,1.012851789,21.74028488,6,1.420000017,1,2.840000033,20.42413521,20.01540947,20.50523186,1217.617798,1200.077759,15.10951328,15.63616276,64.13811493,66.37368011,499.7321167,998.9215698,4.296964169,102.2575455,-3.890422821,-0.246663421,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832886861,0.000445607,293.1654095,293.5741352,159.8274476,1.724875414,2.611767413,25.5410728,9.90491004,20.01540947,2.348853261,0.044062246,1.598915624,0.749937636,0.02760046,69.02571272,0.562478787,61.01878134,1193.387603,0.007196193
4,11:27:00,775,1,13.81181998,0.047026465,510.2078741,0.465045577,1.006863936,21.69328547,6,1.420000017,1,2.840000033,20.39006996,19.97795868,20.46780586,1016.044067,998.9038086,15.071661,15.62127495,64.11286926,66.45085144,499.7481995,999.0109253,4.308877468,102.2587357,-3.358318329,-0.245853752,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832913666,0.000465046,293.1279587,293.54007,159.8417445,1.715326787,2.604275761,25.4675138,9.846238852,19.97795868,2.343412071,0.046260456,1.597411826,0.746000245,0.028980644,52.17321213,0.510767773,61.1700675,992.3383309,0.008513931
5,11:29:26,920.5,1,12.3581982,0.04828101,327.2063436,0.475342265,1.002728698,21.66237819,6,1.420000017,1,2.840000033,20.36922455,19.95163727,20.44597626,766.5949097,751.3286743,15.05414391,15.61593533,64.11138916,66.50390625,499.7434998,999.0492554,4.337338924,102.2436829,-2.678874969,-0.252065986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832905833,0.000475342,293.1016373,293.5192245,159.8478773,1.710740917,2.599359437,25.42317886,9.807243537,19.95163727,2.33959447,0.047473936,1.596630739,0.742963731,0.02974268,33.45478162,0.435503601,61.27421469,745.4541788,0.010158088
6,11:31:36,1051,1,9.301289123,0.050836316,197.2384239,0.493701576,0.990012617,21.58515499,6,1.420000017,1,2.840000033,20.35396767,19.87605286,20.43065834,511.4335327,499.9698486,15.03746891,15.62095833,64.0989151,66.58609772,499.7411804,999.076355,4.225759029,102.2407608,-1.628276825,-0.254916519,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832901967,0.000493702,293.0260529,293.5039677,159.8522132,1.709102135,2.58711128,25.30410827,9.683149937,19.87605286,2.328662147,0.049942343,1.597098664,0.731563483,0.03129307,20.16580652,0.394500637,61.62049177,495.5484612,0.011565973
7,11:33:38,1172.5,1,5.637120345,0.053389726,125.6730803,0.519204761,0.992123406,21.60699184,6,1.420000017,1,2.840000033,20.338974,19.91845512,20.41393471,307.6532288,300.697876,15.02188969,15.635499,64.08625031,66.70402527,499.7512817,999.2752075,4.289772511,102.2318649,-0.745616913,-0.257572502,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832918803,0.000519205,293.0684551,293.488974,159.8840296,1.688536719,2.590569628,25.34013862,9.704639616,19.91845512,2.33478957,0.052404562,1.598446222,0.736343348,0.03283996,12.84779337,0.417938038,61.62291447,298.0182589,0.011656191
8,11:35:14,1269,1,3.536483602,0.055339148,94.37150515,0.537637159,0.9918924,21.61191001,6,1.420000017,1,2.840000033,20.32833672,19.93306732,20.3991642,205.0335083,200.6578064,15.00873947,15.64416885,64.07720947,66.79006958,499.7184143,1001.008179,4.232970238,102.2397995,-0.375179291,-0.262280792,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832864024,0.000537637,293.0830673,293.4783367,160.161305,1.678842687,2.591349087,25.34579586,9.701627005,19.93306732,2.336904405,0.054281441,1.599456687,0.737447718,0.03401937,9.648523765,0.470310659,61.66893611,198.9767315,0.010960637
9,11:36:44,1359.5,1,2.454783751,0.057254798,79.00645868,0.554440367,0.989274004,21.59699106,6,1.420000017,1,2.840000033,20.31961632,19.92725563,20.39087486,153.647049,150.5996552,14.9923439,15.64757442,64.03794861,66.83668518,499.761261,1001.060425,4.242157936,102.2338181,-0.258174896,-0.262772888,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832935435,0.00055444,293.0772556,293.4696163,160.1696644,1.669735428,2.588985281,25.32415722,9.676582792,19.92725563,2.336063073,0.056123343,1.599711277,0.736351796,0.035177019,8.077131922,0.524612481,61.76087395,149.4327685,0.010145672
10,11:38:19,1445.5,1,1.091251354,0.059274871,68.304969,0.572646971,0.987584691,21.58849143,6,1.420000017,1,2.840000033,20.31353188,19.92931747,20.37972641,100.9870377,99.60835266,14.9748764,15.65165806,63.98442078,66.8761673,499.73349,1001.101013,4.200542927,102.2290878,-0.140476227,-0.263043731,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83288915,0.000572647,293.0793175,293.4635319,160.1761585,1.659173952,2.587639417,25.31216381,9.660505748,19.92931747,2.336361526,0.058063013,1.600054726,0.7363068,0.036396349,6.982754675,0.685735354,61.83308312,99.08962403,0.006809536
11,11:41:46,1661,1,-0.256971228,0.062174758,53.20109376,0.591047533,0.972976052,21.52570595,6,1.420000017,1,2.840000033,20.28910065,19.87614441,20.35684776,46.96744537,47.2424469,14.9958086,15.69429779,64.18371582,67.17333221,499.7398376,999.133728,4.234858036,102.2499161,-0.068019867,-0.265269607,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111135,0.832899729,0.000591048,293.0261444,293.4391006,159.8613929,1.649561543,2.577716684,25.20996381,9.51566602,19.87614441,2.328675362,0.060842757,1.604740632,0.72393473,0.038144193,5.439807372,1.12612909,62.2917755,47.36459871,-0.003379569
12,11:43:05,1740,1,-1.390280324,0.063676991,36.98930573,0.595476522,0.957415855,21.4562484,6,1.420000017,1,2.840000033,20.2769928,19.8001976,20.35022736,0.01196082,1.680173755,15.0397625,15.74353886,64.40350342,67.41722107,499.6771545,999.3466797,4.226631165,102.2236786,-0.068019867,-0.265269607,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.832795258,0.000595477,292.9501976,293.4269928,159.8954652,1.656050801,2.566778311,25.10943009,9.365891229,19.8001976,2.317735681,0.062280569,1.609362456,0.708373225,0.039048452,3.7811829,22.01516696,62.75694859,2.341046436,-0.372695516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
