obs,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv.Fm,Adark,LightAdaptedID,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,Afs,ETR,Fv..Fm.,PhiCO2,NPQ,DarkPulseID,Fo.,Fv.,qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
1,1475427934,7372.4,20161002 11:05:33,1475427933,0.00769676,29.47670127,274.6465048,30.69808991,38.03046287,0.343267555,2.001378446,0.440392376,0.280079265,165.2454263,25.9663788,24.9904,3.177858178,55.40208034,1.979484258,3.57294211,1.19837392,-0.034795123,0.039060573,3.019639422,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026994079,0,-,0,0,0,0,0,0,1000.06,843.08478,0.84300048,0.19600096,1475427933,367.719,400.026,23.5181,17.1985,599.683,83.9679,0.200645,26.9704,25.0272,999.9,9993.12,0,6.93277,1000.1,0.900015,0.0999851,0,2.8427,0,7893.66,38.812,41.812,40.437,40.625,39.187,2.617226923,-0.565411956,-144.1986325,7913.660385,15,2,506.541,663.349,25.4141,27.5924,30.0001,27.5408,27.5134,29.9284,43.693,0,25.4324,460.667,17.2388,100.741,101.259,-0.031,5.465,100,100
2,1475427936,7374.4,20161002 11:05:35,1475427935,0.007808186,26.31896987,239.3627621,30.50294123,37.78891833,0.348191915,2.007293862,0.440575655,0.280183587,165.194701,25.96738978,24.9941,3.178559302,55.40163571,1.97958466,3.57315201,1.198974642,-0.034940654,0.039223945,3.029813727,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026838821,0,-,0,0,0,0,0,0,999.706,843.0932101,0.84300048,0.19600096,1475427935,321.236,350.063,23.5197,17.1997,600.208,83.9672,0.199888,26.9714,24.9913,999.9,10035,0,6.93277,1000.11,0.899984,0.100016,0,2.5274,0,7887.49,38.812,41.812,40.437,40.625,39.187,2.616973077,-0.644694012,-161.5989744,7909.169615,15,2,501.762,662.342,25.4212,27.5924,30.0001,27.5408,27.5134,29.7805,43.693,0,25.4324,460.667,17.2388,100.741,101.26,-0.031,5.465,100,100
3,1475427938,7376.4,20161002 11:05:37,1475427937,0.007901756,22.76927067,205.2409979,30.36985638,37.54531485,0.353072516,2.002955811,0.440551479,0.280178389,165.2453662,25.97099565,24.986,3.177024585,55.3908952,1.979456689,3.573613826,1.197567896,-0.034833901,0.039104105,3.022351608,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026431247,0,-,0,0,0,0,0,0,1000.04,842.8318799,0.84300048,0.19600096,1475427937,275.105,300.048,23.5183,17.2012,599.744,83.9667,0.199957,26.9736,24.9877,999.9,10004.4,0,6.93277,1000.11,0.899984,0.100016,0,2.6852,0,7878.68,38.812,41.812,40.437,40.625,39.187,2.585403846,-0.587723072,-178.2270085,7902.337692,15,2,514.578,663.419,25.4292,27.5924,30,27.5408,27.5134,29.5901,43.693,0,25.439,455.833,17.2388,100.742,101.261,-0.031,5.465,100,100
4,1475427940,7378.4,20161002 11:05:39,1475427939,0.00798733,18.61361222,172.8187945,30.21499906,37.298769,0.356110544,2.000470697,0.441054218,0.280509651,165.2453662,25.96910656,24.984,3.176645742,55.38869685,1.979506037,3.573844754,1.197139705,-0.034772816,0.039035532,3.018078875,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026110027,0,-,0,0,0,0,0,0,999.99,843.092367,0.842999637,0.195999125,1475427939,229.601,250.048,23.5189,17.2009,600.127,83.9665,0.200108,26.9747,25.009,999.9,9986.88,0,6.93277,999.79,0.899984,0.100016,0,2.6955,0,7869.08,38.812,41.812,40.437,40.625,39.187,2.602726923,-0.424393157,-191.5278633,7896.839615,15,2,498.758,662.436,25.4351,27.5924,30,27.5408,27.5134,29.3941,43.693,0,25.439,450.667,17.2388,100.742,101.261,-0.031,5.465,100,100
5,1475427942,7380.4,20161002 11:05:41,1475427941,0.008064806,14.43678852,140.417258,30.024638,37.0506591,0.360203754,2.003896549,0.440798867,0.280336164,165.2437139,25.97255453,24.9865,3.177119302,55.3773835,1.979322619,3.57424366,1.197796683,-0.034857038,0.039130079,3.023969437,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025885437,0,-,0,0,0,0,0,0,999.973,843.083937,0.842999637,0.195999125,1475427941,184.13,200.052,23.5173,17.1997,600.164,83.9654,0.199135,26.9766,25.0247,999.9,10011.2,0,6.93277,1000.1,0.900015,0.0999851,0,2.5337,0,7865.47,38.812,41.812,40.437,40.625,39.187,2.579561538,-0.18091624,-199.729231,7891.172308,15,2,522.239,662.835,25.4384,27.5924,30,27.5408,27.5134,29.2541,43.693,0,25.439,450.667,17.2388,100.742,101.261,-0.031,5.465,100,100
6,1475427944,7382.4,20161002 11:05:43,1475427943,0.008215388,9.731410166,109.8533705,29.89952631,36.80124073,0.36710591,2.000833382,0.440473934,0.280133345,165.2454263,25.97428673,24.9857,3.176967756,55.36981447,1.979191594,3.574495621,1.197776162,-0.034781728,0.039045536,3.018702356,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025393392,0,-,0,0,0,0,0,0,999.963,843.075507,0.842999637,0.195999125,1475427943,139.148,150.023,23.5148,17.1972,599.687,83.967,0.200911,26.9778,25.0009,999.9,9989.38,0,6.93277,1000.09,0.900015,0.0999851,0,2.322,0,7856.35,38.812,41.812,40.437,40.625,39.187,2.550576923,0.146119665,-211.9401709,7883.021154,15,2,504.517,662.881,25.4413,27.5924,30,27.5408,27.5134,29.0845,43.693,0,25.4491,445.833,17.2388,100.743,101.261,-0.031,5.465,100,100
7,1475427946,7384.4,20161002 11:05:45,1475427945,0.008346209,5.009698138,78.79567849,29.73480376,36.54600248,0.371974114,2.002936646,0.440666518,0.280252858,165.2454263,25.97289838,24.9877,3.177346632,55.37149727,1.979181987,3.574369639,1.198164645,-0.03483343,0.039103576,3.022318651,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025063387,0,-,0,0,0,0,0,0,999.928,843.08478,0.84300048,0.19600096,1475427945,94.2044,100,23.5139,17.1967,600.163,83.9706,0.200124,26.9772,24.9997,999.9,10003.8,0,6.93277,1000.09,0.900015,0.0999851,0,2.4343,0,7850.19,38.75,41.812,40.437,40.625,39.187,2.526861538,-0.46443076,-217.2188034,7876.681923,15,2,496.84,661.944,25.4445,27.5921,30,27.5408,27.5134,28.906,43.693,0,25.4491,440.667,17.2388,100.743,101.261,-0.031,5.465,100,100
8,1475427948,7386.4,20161002 11:05:47,1475427947,0.008391869,-0.020543142,48.54829264,29.50517232,36.28622938,0.376575412,2.004060248,0.439857837,0.279727003,165.2420617,25.97692728,24.9928,3.178312946,55.36623707,1.979121848,3.574600609,1.199191098,-0.034861065,0.039134599,3.024250978,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024926098,0,-,0,0,0,0,0,0,999.926,842.8209209,0.84300048,0.19600096,1475427947,49.5872,49.9828,23.512,17.1976,599.814,83.9751,0.199868,26.9783,25.0209,999.9,10011.2,0,6.93277,999.787,0.899984,0.100016,0,2.6547,0,7840.47,38.812,41.812,40.437,40.625,39.187,2.523030769,-1.218352132,-218.114872,7870.139231,15,2,513.251,662.974,25.4494,27.5908,30,27.5408,27.5134,28.7575,43.693,0,25.4571,440.667,17.2388,100.742,101.261,-0.031,5.465,100,100
9,1475427950,7388.4,20161002 11:05:49,1475427949,0.008597971,28.80462443,285.7511659,29.31214799,36.02721287,0.383788262,2.003004123,0.43988354,0.279746169,165.2420617,25.97683755,24.9958,3.178881485,55.36185378,1.979151168,3.57493659,1.199730318,-0.034835089,0.039105439,3.022434688,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024679039,0,-,0,0,0,0,0,0,999.974,843.083937,0.842999637,0.195999125,1475427949,368.129,400.099,23.5123,17.1974,600.072,83.9746,0.200541,26.9799,25.0474,999.9,10003.8,0,6.93277,999.786,0.899984,0.100016,0,2.3748,0,7831.8,38.812,41.812,40.437,40.625,39.187,2.507711538,-0.515018796,-221.6523077,7861.287308,15,2,492.316,662.295,25.4527,27.5901,30.0001,27.5408,27.5134,28.5642,43.693,0,25.4571,435.833,17.2388,100.742,101.261,-0.031,5.465,100,100
10,1475427952,7390.4,20161002 11:05:51,1475427951,0.00875313,34.94644384,362.3902621,29.09513949,35.76957418,0.390755439,2.007376658,0.440099745,0.279875532,165.2420617,25.97871882,24.9934,3.178426646,55.35697429,1.979034853,3.575041589,1.199391793,-0.034942693,0.039226234,3.029956193,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024553159,0,-,0,0,0,0,0,0,1000.06,843.075507,0.842999637,0.195999125,1475427951,461.046,500.027,23.5119,17.1959,600.117,83.9721,0.199526,26.9804,24.9857,999.9,10035,0,6.93277,1000.08,0.900015,0.0999851,0,2.7874,0,7828.37,38.812,41.812,40.437,40.625,39.187,2.527215385,0.017928217,-221.4598291,7854.709231,15,2,503.984,662.504,25.456,27.5901,30.0001,27.5408,27.5132,28.3669,43.693,0,25.4571,430.667,17.2388,100.742,101.261,-0.031,5.465,100,100
11,1475427954,7392.4,20161002 11:05:53,1475427953,0.008890332,39.28713199,445.6354837,28.88827345,35.51345045,0.396823973,2.006793706,0.440335673,0.280029547,165.1937096,25.97918571,24.9885,3.177498194,55.35340258,1.978988535,3.575188593,1.198509659,-0.034928338,0.039210119,3.028953149,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024395448,0,-,0,0,0,0,0,0,1000.09,843.075507,0.842999637,0.195999125,1475427953,555.858,600.088,23.5119,17.1959,600.008,83.9694,0.200256,26.9811,25.0264,999.9,10031.2,0,6.93277,1000.09,0.900015,0.0999851,0,2.5633,0,7821.96,38.812,41.812,40.437,40.625,39.187,2.536988462,0.177145317,-223.4694019,7848.031538,15,2,495.802,662.616,25.4592,27.5901,30.0001,27.5397,27.5128,28.2535,43.693,0,25.4617,430.667,17.2388,100.742,101.262,-0.031,5.465,100,100
12,1475427956,7394.4,20161002 11:05:55,1475427955,0.008992925,41.9488349,534.2397923,28.73681561,35.25551736,0.400716154,2.005604116,0.440073499,0.279862805,165.2420617,25.98010247,24.9911,3.177990813,55.35130791,1.978995018,3.575335602,1.198995795,-0.034899053,0.039177244,3.026906561,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.023979696,0,-,0,0,0,0,0,0,1000.11,843.083937,0.842999637,0.195999125,1475427955,652.238,700.053,23.5129,17.198,600.024,83.9668,0.199552,26.9818,24.9935,999.9,10023.1,0,6.93277,999.789,0.899984,0.100016,0,2.8709,0,7811.23,38.812,41.812,40.437,40.625,39.187,2.521292308,0.860116257,-217.3264957,7839.424615,15,2,507.254,662.75,25.4612,27.5901,30.0001,27.5386,27.5122,28.0533,43.693,0,25.4617,425.833,17.2388,100.742,101.262,-0.031,5.465,100,100
13,1475427958,7396.4,20161002 11:05:57,1475427957,0.008972109,43.25767583,626.8434589,28.54806844,34.99653507,0.401516294,2.00161948,0.439476169,0.279485968,165.2404094,25.97948229,24.9989,3.17946907,55.34840876,1.978995983,3.575524622,1.200473087,-0.034801047,0.039067224,3.020053828,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.023689569,0,-,0,0,0,0,0,0,1000.12,843.067077,0.842999637,0.195999125,1475427957,749.962,799.949,23.5128,17.1954,599.713,83.9664,0.200351,26.9827,25.0326,999.9,9995,0,6.93277,1000.09,0.900015,0.0999851,0,2.8768,0,7808.59,38.812,41.812,40.437,40.625,39.187,2.5536,1.425784634,-210.7234187,7833.179231,15,2,499.764,663.047,25.4629,27.5901,30,27.5385,27.5115,27.8544,43.693,0,25.4669,420.667,17.2388,100.742,101.262,-0.031,5.465,100,100
14,1475427960,7398.4,20161002 11:05:59,1475427959,0.008993335,44.31943657,720.0891724,28.3416757,34.73663876,0.401541299,2.002056355,0.43999083,0.279817856,165.2404094,25.97908492,24.9959,3.178900438,55.34107381,1.978884825,3.575797665,1.200015613,-0.034811786,0.039079279,3.020804973,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.023527914,0,-,0,0,0,0,0,0,1000.11,843.067077,0.842999637,0.195999125,1475427959,848.023,899.967,23.5117,17.1948,600.238,83.9661,0.199861,26.984,25.002,999.9,9998.12,0,6.93277,1000.08,0.900015,0.0999851,0,2.4477,0,7803.06,38.812,41.812,40.437,40.625,39.187,2.558988462,1.411408564,-204.4502565,7826.878846,15,2,495.613,661.918,25.4647,27.5901,30.0002,27.5385,27.511,27.7079,43.693,0,25.4669,420.667,17.2388,100.742,101.261,-0.031,5.465,100,100
15,1475427962,7400.4,20161002 11:06:01,1475427961,0.008990641,44.98273534,814.9074811,28.1859865,34.47252905,0.401941392,2.009334223,0.439792169,0.279671893,165.2404094,25.98501729,24.9943,3.178597204,55.33531943,1.978806913,3.576028717,1.199790291,-0.034990918,0.039280371,3.033325039,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.023115247,0,-,0,0,0,0,0,0,999.764,842.8124909,0.84300048,0.19600096,1475427961,946.521,1000.01,23.5106,17.1943,599.906,83.9675,0.199085,26.9851,25.0195,999.9,10049.4,0,6.93277,1000.08,0.899984,0.100016,0,2.7815,0,7795.48,38.812,41.812,40.437,40.625,39.187,2.6322,0.535302577,-196.0803418,7818.716538,15,2,532.722,663.509,25.4666,27.5901,30.0001,27.5385,27.511,27.4947,43.693,0,25.4669,415.833,17.2388,100.741,101.262,-0.031,5.465,100,100
16,1475427964,7402.4,20161002 11:06:03,1475427963,0.008971882,45.84712066,908.7961282,27.99487992,34.20942342,0.401247121,2.004049637,0.439844898,0.279718658,165.2404094,25.98256642,24.9969,3.179089972,55.33894995,1.979018112,3.576175756,1.20007186,-0.034860804,0.039134306,3.024232729,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.022847625,0,-,0,0,0,0,0,0,999.769,843.067077,0.842999637,0.195999125,1475427963,1044.9,1100.12,23.5123,17.1942,599.928,83.9686,0.200882,26.9858,25.0308,999.9,10011.9,0,6.93277,999.771,0.899984,0.100016,0,2.5713,0,7786.96,38.812,41.812,40.437,40.625,39.187,2.648603846,0.253952143,-193.6564102,7812.854231,15,2,499.102,662.595,25.4684,27.5901,30,27.5385,27.511,27.3517,43.693,0,25.4701,410.667,17.2388,100.741,101.262,-0.031,5.465,100,100
17,1475427966,7404.4,20161002 11:06:05,1475427965,0.008995308,46.29392875,1004.56796,27.77589448,33.94317581,0.402953037,1.998995939,0.440300737,0.280025735,165.2420617,25.97979614,24.9913,3.178028709,55.33729056,1.978958769,3.576175756,1.19906994,-0.03473659,0.038994865,3.01554398,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.0227096,0,-,0,0,0,0,0,0,1000.09,843.075507,0.842999637,0.195999125,1475427965,1143.43,1200.01,23.5119,17.1949,600.157,83.9684,0.19999,26.9858,25.0073,999.9,9976.25,0,6.93277,1000.09,0.900015,0.0999851,0,2.7356,0,7784.43,38.812,41.812,40.437,40.625,39.187,2.660580769,0.271784616,-187.3244445,7807.138462,15,2,501.143,662.243,25.4696,27.5901,30.0001,27.5385,27.511,27.2,43.693,0,25.4701,410.667,17.2388,100.741,101.262,-0.031,5.465,100,100
18,1475427968,7406.4,20161002 11:06:07,1475427967,0.008942141,46.50079027,1100.488515,27.58952108,33.67730107,0.401377899,1.998901561,0.439497991,0.279506626,165.1940401,25.98105359,24.999,3.179488025,55.33412927,1.97889221,3.576259781,1.200595815,-0.034734272,0.038992263,3.015381775,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.022380584,0,-,0,0,0,0,0,0,1000.08,842.8074329,0.84300048,0.19600096,1475427967,1242.44,1300.05,23.5111,17.1944,599.859,83.9681,0.200323,26.9862,25.0063,999.9,9975.62,0,6.93277,1000.09,0.900015,0.0999851,0,2.5098,0,7777.08,38.812,41.812,40.437,40.625,39.187,2.624180769,0.01764444,-187.7234188,7799.551154,15,2,495.286,662.594,25.4707,27.5901,30.0002,27.5385,27.511,27.004,43.693,0,25.4738,405.833,17.2388,100.741,101.261,-0.031,5.465,100,100
19,1475427970,7408.4,20161002 11:06:09,1475427969,0.008931313,46.71965113,1197.317346,27.35364927,33.41517878,0.40288488,2.000931345,0.439212428,0.279317008,165.1932139,25.9810958,25.0056,3.180739334,55.33217953,1.978845729,3.576301794,1.201893605,-0.034784135,0.039048239,3.018870769,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.022282344,0,-,0,0,0,0,0,0,1000.05,842.8183919,0.84300048,0.19600096,1475427969,1341.42,1400.12,23.5108,17.1942,600.138,83.9676,0.19992,26.9864,25.0208,999.9,9990,0,6.93277,999.782,0.899984,0.100016,0,2.7548,0,7768.31,38.812,41.812,40.437,40.625,39.187,2.645926923,-0.830417103,-190.5011966,7793.814615,15,2,495.294,662.219,25.4716,27.5892,30.0001,27.5385,27.511,26.8026,43.693,0,25.4738,400.667,17.2388,100.741,101.261,-0.031,5.465,100,100
20,1475427972,7410.4,20161002 11:06:11,1475427971,0.00902264,46.7654269,1293.56647,27.10269845,33.15703451,0.402654029,2.002620362,0.439208329,0.279310303,165.2420617,25.98426786,25.0025,3.180151545,55.32591157,1.978737792,3.576511865,1.201413752,-0.034825652,0.039094846,3.021774774,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.022270914,0,-,0,0,0,0,0,0,1000.06,843.075507,0.842999637,0.195999125,1475427971,1440.34,1500.1,23.5094,17.193,599.907,83.9678,0.200141,26.9874,25.0056,999.9,10001.9,0,6.93277,1000.09,0.900015,0.0999851,0,2.667,0,7765.75,38.75,41.812,40.437,40.625,39.187,2.624857692,-0.87328206,-187.7880344,7788.31,15,2,499.053,662.711,25.473,27.5878,30,27.5385,27.511,26.6577,43.693,0,25.4738,400.667,17.2388,100.741,101.262,-0.031,5.465,100,100
21,1475427974,7412.4,20161002 11:06:13,1475427973,0.008940397,47.36493835,1581.489252,26.95593299,32.90143161,0.399611767,2.005641267,0.439506517,0.279495952,165.1927182,25.98550109,24.9993,3.179544894,55.32305174,1.978716866,3.576658922,1.200828028,-0.034899967,0.039178271,3.026970471,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.021875701,0,-,0,0,0,0,0,0,1000.04,843.075507,0.842999637,0.195999125,1475427973,1737.14,1800.03,23.5089,17.1925,600.013,83.969,0.199841,26.9881,25.0361,999.9,10023.1,0,6.93277,1000.09,0.900015,0.0999851,0,2.6923,0,7758.77,38.812,41.812,40.437,40.625,39.187,2.597434615,-0.208516248,-186.5750429,7780.903846,15,2,498.374,662.22,25.474,27.5877,30,27.5385,27.511,26.4872,43.693,0,25.3408,395.833,17.2388,100.741,101.261,-0.031,5.465,100,100
22,1475427976,7414.4,20161002 11:06:15,1475427975,0.00890198,47.82092505,1773.243954,26.80254677,32.64236886,0.397747605,1.998907977,0.439835756,0.279725125,165.1912312,25.98119295,24.9969,3.179089972,55.32627249,1.978762323,3.576532873,1.200327649,-0.03473443,0.03899244,3.015392802,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.021502051,0,-,0,0,0,0,0,0,1000.03,842.8082759,0.84300048,0.19600096,1475427975,1934.97,2000.02,23.5081,17.1893,599.948,83.9737,0.199939,26.9875,24.9976,999.9,9975,0,6.93277,1000.09,0.900015,0.0999851,0,2.5737,0,7753.59,38.812,41.812,40.437,40.625,39.187,2.598484615,-0.151035905,-184.0150428,7775.3,15,2,503.651,662.337,25.4504,27.5877,30.0002,27.5385,27.511,26.3016,43.693,0,25.3408,390.667,17.2388,100.74,101.26,-0.031,5.465,100,100
