obs,time,elapsed,date,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r
1,1506482783,0,20170927 11:26:23,1506482783,0.000885066,10.36124253,386.1349829,171.6694637,17.37741536,39.0869048,0.080394235,2.411339954,0.078934327,0.049462913,158.4840731,26.05441853,25.9379,3.361879061,70.14304226,2.258372595,3.219667301,1.103506466,-39.03140382,-94.65311622,-8.351099008,16.44845404,0.019842583,-0.444983485,4.808942113,7,1,1.000194005,0.01940054,54132.70583,1000,843.00003,0.84300003,0.18800008,1506482783,386.135,399.893,22.3102,21.1979,700.021,101.026,0.200013,25.2098,25.9379,999.9,10076.2,359.581,0.977954,1000,0.899999,0.100001,27,21108.4,100,100,-3.168,0.116,3,742.728,722.241,25.0007,25.7377,30.0003,25.6512,25.6116,26.2551,18.8372,20.0814,25,400,21.1286,101.032,101.668
2,1506482865,82,20170927 11:27:45,1506482865,0.000862106,10.33460652,386.2869826,174.852253,17.699071,39.10113033,0.081323497,2.401671356,0.07982409,0.050022469,126.7878508,25.7646227,25.689,3.312659104,70.18034618,2.249478907,3.205283287,1.063180197,-38.01887702,-71.78310556,-6.348457616,10.63741065,0.019717739,-0.442183787,4.784188542,7,1,1.000195684,0.019568363,53668.53961,800.003,674.402601,0.84300009,0.18800024,1506482865,386.287,399.999,22.223,21.1395,700.047,101.023,0.200008,25.1346,25.689,999.9,9983.75,289.543,1.1654,800.003,0.899997,0.100003,26.9167,16886.8,100,100,-3.138,0.118,3,742.696,721.343,24.9985,25.7643,30.0001,25.6642,25.622,26.2625,19.2675,19.7096,25,400,21.1091,101.031,101.672
3,1506482986,202.5,20170927 11:29:45,1506482985,0.000801333,9.949096283,386.7749833,176.6618209,17.88153956,39.14899173,0.078683235,2.409027245,0.077282907,0.048425555,95.09105671,25.3987459,25.3779,3.252025046,70.2634033,2.230928329,3.175092899,1.021096717,-35.33878684,-52.22292923,-4.593594859,2.935745781,0.019812685,-0.444313016,4.803016867,7,1,1.000195799,0.01957989,53636.94957,600.005,505.8039882,0.842999622,0.187999816,1506482986,386.775,399.963,22.0406,21.0332,699.983,101.019,0.200038,24.9758,25.3779,999.9,9972.5,219.052,1.43569,600.005,0.900001,0.0999986,26,12665.2,100,100,-3.183,0.12,3,742.669,721.374,24.9986,25.6955,29.9994,25.5979,25.5507,26.2811,19.7459,18.5937,25,400,21.0052,101.058,101.699
4,1506483106,323,20170927 11:31:46,1506483106,0.000695462,8.977848493,388.148985,176.2575679,17.83885078,39.28416751,0.070233517,2.409546578,0.069115734,0.04329628,63.39255863,25.10759465,25.1031,3.199274775,69.95925424,2.208086699,3.156246766,0.991188076,-30.6698698,-29.5010792,-2.589506178,0.632103451,0.019819397,-0.444463531,4.804347186,7,1,1.000195412,0.019541193,53743.14541,399.994,337.1947908,0.842999622,0.187999816,1506483106,388.149,400.037,21.8171,20.9426,699.986,101.009,0.199992,24.876,25.1031,999.9,9990.62,147.785,1.24689,399.994,0.900001,0.0999986,26,8443.25,100,100,-3.279,0.114,3,742.633,720.884,25.0003,25.5622,29.9999,25.4931,25.4526,26.2892,19.818,17.4689,25,400,20.9833,101.079,101.708
5,1506483227,443.5,20170927 11:33:46,1506483226,0.000579374,7.575467542,389.9439873,178.2550819,18.03888665,39.46117728,0.059183726,2.411766468,0.058388568,0.036563407,47.54503713,25.00623828,25.0147,3.182465329,69.96838737,2.205043023,3.1514847,0.977422306,-25.55041405,-21.32379722,-1.868938667,-1.198112807,0.019848099,-0.445107188,4.810035147,7,1,1.000195278,0.01952779,53780.02491,300,252.8999973,0.842999991,0.187999358,1506483227,389.944,399.972,21.7896,21.0611,700.032,100.997,0.20004,24.8507,25.0147,999.9,9998.12,111.742,1.24961,300,0.900009,0.0999913,26,6332.54,100,100,-3.244,0.117,3,742.652,720.288,25.0003,25.5098,30.0001,25.4428,25.407,26.3036,19.2095,16.3524,25,400,21.0445,101.071,101.694
6,1506483305,521.4000001,20170927 11:35:04,1506483304,0.000502233,6.039469817,391.9549898,199.7082906,20.20908705,39.66311304,0.052030248,2.405943886,0.051413144,0.03218805,31.69693392,24.88917514,24.9201,3.164562477,70.00211235,2.202263912,3.145996368,0.962298565,-22.14848176,-12.78933173,-1.122942124,-4.363821691,0.01977286,-0.443419901,4.795121343,8,1,1.000224096,0.022409574,53560.54107,200.002,168.6015966,0.842999553,0.187999014,1506483305,391.955,399.971,21.763,21.1315,700.034,100.993,0.20003,24.8215,24.9201,999.9,9955,75.2099,1.08662,200.002,0.900012,0.0999879,26,4221.75,100,100,-3.18,0.121,3,741.794,718.955,24.9996,25.5117,30.0003,25.4342,25.3963,26.3129,19.1626,15.9818,25,400,21.0917,101.066,101.69
7,1506483425,641.9000001,20170927 11:37:05,1506483425,0.000419614,4.918725771,393.4879918,207.67599,21.01452492,39.81665482,0.043815262,2.414328636,0.043378263,0.027150314,25.35847812,24.75682392,24.8162,3.145001094,70.14734316,2.191976269,3.124817235,0.953024825,-18.50496714,-14.03138657,-1.226378583,-8.404254177,0.019881252,-0.445850659,4.816603189,8,1,1.000223132,0.022313204,53791.81677,160.007,134.8858261,0.842999532,0.187999576,1506483425,393.488,400.023,21.6622,21.1345,699.995,100.989,0.199996,24.7084,24.8162,999.9,9996.25,60.4671,0.923623,160.007,0.900004,0.0999956,25.2917,3377.5,100,100,-3.187,0.124,3,741.82,719.046,24.9984,25.4672,29.9995,25.3814,25.3381,26.3239,19.1456,14.8554,25,400,21.1218,101.083,101.707
8,1506483510,726.4000001,20170927 11:38:29,1506483509,0.000374713,4.023947376,394.7009932,225.4976356,22.81877524,39.94096537,0.039453661,2.414466235,0.039098973,0.02446846,19.01774947,24.66061389,24.7261,3.128123494,70.15856288,2.183774629,3.112627368,0.944348865,-16.52482922,-10.81701927,-0.944640516,-9.268739534,0.019883033,-0.445890604,4.816956011,8,1,1.000223396,0.022339586,53728.30416,119.999,101.1590436,0.842999055,0.18799851,1506483510,394.701,400.064,21.5803,21.109,699.954,100.993,0.199969,24.643,24.7261,999.9,9981.25,45.6337,0.923623,119.999,0.900017,0.0999825,25,2533,100,100,-3.255,0.124,3,741.468,718.83,25,25.3866,29.9997,25.3128,25.2702,26.329,19.1456,14.1111,25,400,21.095,101.098,101.722
9,1506483595,811.4000001,20170927 11:39:54,1506483594,0.000337943,2.747138652,396.2149954,266.6743759,26.98559639,40.0942082,0.035561351,2.416779919,0.035273193,0.022071441,12.67863879,24.62559539,24.6981,3.122894661,70.00546391,2.178787796,3.112311061,0.944106864,-14.90329083,-7.400667335,-0.645578235,-10.27089761,0.019912995,-0.446562526,4.822890062,8,1,1.00022318,0.022318001,53780.2572,79.9996,67.43964408,0.842999766,0.187999788,1506483595,396.215,399.918,21.531,21.106,700.076,100.993,0.200061,24.6413,24.6981,999.9,9991.25,30.6601,0.923623,79.9996,0.900002,0.0999978,25,1688.67,100,100,-3.226,0.125,3,741.611,718.282,25.0007,25.3278,30,25.2628,25.2249,26.3389,19.1456,13.7382,25,400,21.1,101.1,101.715
10,1506483676,892.4000001,20170927 11:41:15,1506483675,0.000309357,2.066251842,397.1949966,289.2525534,29.26887957,40.19135659,0.032406675,2.416045008,0.032167116,0.020125823,9.509665784,24.62431594,24.7061,3.124387833,69.8885334,2.176735438,3.114581651,0.947652395,-13.64264678,-6.851350852,-0.597902672,-11.58223452,0.019903475,-0.446349045,4.821004899,8,1,1.000222799,0.022279912,53872.17761,60.005,50.58414659,0.84299886,0.18799696,1506483676,397.195,400.009,21.5118,21.1227,700,100.988,0.199973,24.6535,24.7061,999.9,10010,23.1642,1.03228,60.005,0.900038,0.099962,25,1266.62,100,100,-3.204,0.125,3,741.174,717.363,25.0006,25.3171,30.0003,25.2488,25.2122,26.341,19.1456,12.9906,25,400,21.1184,101.093,101.703
11,1506483749,965.4000001,20170927 11:42:28,1506483748,0.000278287,0.805444524,398.8139987,349.0914274,35.32386615,40.35519409,0.029436741,2.409419674,0.029238395,0.018291706,4.755141953,24.59498388,24.6693,3.117524404,70.00397411,2.179640286,3.113595069,0.937884117,-12.27244996,-2.740818966,-0.239792209,-10.49791918,0.019817757,-0.444426749,4.804022097,8,1,1.000222915,0.022291477,53844.2348,30.0039,25.2932679,0.84299934,0.1880003,1506483749,398.814,399.992,21.5405,21.1905,700.021,100.988,0.200008,24.6482,24.6693,999.9,10004.4,11.8035,1.19528,30.0039,0.899993,0.100006,25,633.333,100,100,-3.218,0.123,3,741.035,716.857,25,25.3363,30.0004,25.2553,25.2186,26.3455,18.8659,12.6181,25,400,21.1382,101.085,101.693
12,1506483820,1036.4,20170927 11:43:39,1506483819,0.000268267,-0.055172745,399.8820001,396.9526158,40.16528166,40.46168869,0.028401042,2.416168078,0.028216872,0.017651992,2.377327426,24.53454847,24.6399,3.112050594,70.05735478,2.175194448,3.104876647,0.936856146,-11.83057458,-5.028053503,-0.438503356,-14.91980401,0.019905069,-0.446384792,4.821320574,8,1,1.000222728,0.022272832,53889.29889,15.0013,12.64604221,0.842996421,0.187989838,1506483820,399.882,399.949,21.4974,21.16,700.048,100.984,0.200071,24.6013,24.6399,999.9,10011.9,6.11928,1.30394,15.0013,0.900128,0.0998723,25,316.667,100,100,-3.249,0.123,3,740.952,716.066,24.9987,25.3491,30,25.2553,25.2135,26.3488,19.1467,11.8741,25,400,21.1525,101.085,101.696
13,1506483906,1122.4,20170927 11:45:05,1506483905,0.000256625,-0.809261048,400.9040013,442.0829611,44.73083419,40.56426506,0.027387605,2.418235638,0.027216447,0.017025568,0,24.46974638,24.5835,3.101573326,70.18363376,2.172387465,3.095290666,0.929185861,-11.31717345,-4.419608079,-0.384900682,-16.12168222,0.019931858,-0.446985541,4.826625016,8,1,1.000222402,0.022240222,53968.29707,0,0,0,0,1506483906,400.904,399.996,21.4701,21.1473,699.977,100.982,0.199991,24.5496,24.5835,999.9,10025.6,0.600206,1.30394,0,0,0,25,1,100,100,-3.243,0.128,3,740.919,716.618,24.9995,25.3141,29.9996,25.2194,25.175,26.3569,19.1467,11.1275,25,400,21.1004,101.1,101.712
